term,Exp063972,Exp063804,Exp061170,Exp071855,Exp058132,Exp071409,Exp071413,Exp071852,Exp071853,Exp061845,Exp072767,Exp071414,Exp066882,Exp061181,Exp072369,Exp071860,Exp071910,Exp072223,Exp071913,Exp071861,Exp071416,Exp059910,Exp066874,Exp064120,Exp061843,Exp059915,Exp059931,Exp059906,Exp067098,Exp066039,Exp059897,Exp059913,Exp066025,Exp059903,Exp061855,Exp059930,Exp067440,Exp066029,Exp063813,Exp063811,Exp058122,Exp059899,Exp066032,Exp068742,Exp056266,Exp068741,Exp068655,Exp059898,Exp068659,Exp063808,Exp068658,Exp057318,Exp068662,Exp058165,Exp058162,Exp058123,Exp066034,Exp058125,Exp059911,Exp058138,Exp058108,Exp058140,Exp064117,Exp068946,Exp075756,Exp075767,Exp070852,Exp075758,Exp066041,Exp067091,Exp067093,Exp068657,Exp067095,Exp066037,Exp075754
GOBP_ACETYL_COA_METABOLIC_PROCESS,-0.335691647,-0.349601509,-0.197263669,-0.203039922,-0.211490975,0.120744941,-0.085301204,-0.184370013,-0.071335562,0.056799352,-0.155029393,0.249186659,0.019017067,0.277518359,-0.055535733,-0.257440048,0.036053545,-0.575199953,-0.285960368,-0.251140675,-0.018231891,-0.263030288,0.066488073,-0.458444248,-0.274662326,-0.523508309,-0.230537777,-0.195554048,-0.461534532,-0.411294066,-0.173212342,-0.437565164,-0.186079864,-0.180552473,-0.207383891,-0.476529749,-0.206111082,-0.545719895,0.05603316,-0.328857531,-0.552891878,-0.561060052,-0.504772731,0.073296965,-0.176713901,-0.514310184,-0.462664688,-0.061401337,-0.465280586,0.174038322,-0.09310242,0.178813039,-0.117071288,-0.085344786,-0.252818167,-0.500046911,-0.064304303,-0.105879306,-0.053984143,-0.013687168,0.133696254,-0.037987192,0.276348512,0.18326261,0.23361101,0.414427774,0.470945618,0.053573757,0.343427589,0.243069767,0.474377295,0.294461349,0.549425737,0.299207496,0.430422848
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,-0.237834597,-0.232140183,0.34237836,0.170133868,0.137689741,0.271363024,0.175708614,0.163746477,0.151499134,0.46074222,0.461710031,0.43738805,0.47867126,0.460000091,0.359058628,0.053422985,0.297512012,0.035973529,0.33273249,0.456481287,-0.006629961,0.232523101,0.472406545,0.122731096,0.366558618,0.02930095,0.347962264,0.349467419,0.103619967,-0.318320838,0.196249152,-0.172482639,0.184748912,0.138869878,0.077994075,-0.271627586,-0.143281077,0.198113928,-0.026182143,-0.195584915,-0.065662814,-0.096815317,-0.342384916,0.116224886,0.17674217,-0.118221864,0.223134785,0.409779935,-0.273680608,-0.185426634,-0.415751205,-0.251493895,-0.333968145,-0.344135637,-0.281479428,-0.554030166,-0.197494189,-0.357679123,-0.263682078,-0.137889064,-0.434852009,-0.322449537,-0.309880706,-0.152102935,0.037724376,-0.202498056,-0.299069472,0.320090198,0.054815296,-0.153081472,-0.023390531,-0.163506354,0.082201718,0.071995317,-0.195739502
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION,-0.511770012,-0.442254757,-0.13863546,-0.385411414,-0.356462722,-0.337255035,-0.36091421,-0.258917141,-0.299258162,-0.270584159,-0.220453457,-0.217082297,-0.160313299,-0.103045984,-0.058356634,-0.123428117,-0.180060352,-0.180493155,-0.215789931,-0.169179497,-0.069870606,0.051423142,0.110085722,0.132567947,-0.082059646,-0.029562574,-0.013508591,-0.00345843,-0.202587,-0.056929175,-0.131001411,-0.166032,-0.117100239,-0.2625266,-0.009415522,-0.045999217,-0.045233303,-0.061626383,-0.033404231,0.222754375,-0.170677601,0.10074051,0.033951213,0.170119196,-0.208997243,-0.145785209,-0.087102339,-0.0328531,-0.103010029,-0.384074174,-0.192242848,-0.133005273,-0.114299391,-0.247662988,-0.108223054,-0.232958493,-0.116276543,-0.138938873,-0.03596875,-0.185900213,-0.143156443,-0.13939969,-0.251215072,-0.109659841,-0.076335791,0.113450249,-0.222467819,0.100836012,-0.242587224,-0.190447896,-0.023358894,-0.038046336,-0.086357193,-0.287012824,-0.056688998
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,-0.171961985,-0.174370643,0.116403596,0.099413555,0.102550846,-0.002328283,0.132875967,-0.039359688,0.037615351,-0.011822713,0.194347299,0.306235789,0.048561147,0.143002248,0.11955435,-0.073458028,0.041357786,0.180525347,0.152086688,0.071379756,-0.04629839,0.153877629,0.104854091,0.127670261,0.130928421,-0.12866854,0.213841575,0.065847866,0.009971014,-0.156868959,0.032808306,0.047854198,0.117893059,-0.119185882,-0.065911704,0.044276604,0.248172513,-0.114964112,0.057956996,-0.229207711,0.001001992,0.079704117,-0.107244066,-0.064225881,0.175827866,-0.090950237,-0.189833662,-0.226648493,-0.275650113,-0.287472684,-0.179981787,-0.281666352,0.107567702,0.102916531,-0.032062889,-0.258041162,-0.019724901,0.032070148,-0.107928381,-0.060557137,-0.149054855,-0.107648986,-0.027568682,-0.001783043,-0.188737318,-0.02758978,0.051798068,-0.36934337,0.090308389,-0.031123192,-0.02896451,-0.171643709,-0.038432054,-0.132661758,-0.01761033
GOBP_ACTIN_FILAMENT_BASED_PROCESS,-0.148902887,-0.132690404,-0.028911606,-0.081269169,-0.042491851,-0.066781345,-0.074020386,-0.094940833,-0.075601782,-0.076929438,-0.060496321,-0.031111214,-0.056468928,-0.052000939,-0.03745408,-0.041794009,-0.085672399,0.030647903,-0.087161057,-0.095006069,-0.110639792,-0.013401397,-0.008825949,0.049202886,-0.048535926,0.025404735,-0.022716195,-0.053854484,-0.055540795,-0.06175628,-0.047238343,-0.08826859,0.027339397,-0.177001926,-0.098481837,-0.031063914,0.101177292,0.033789378,-0.008351621,-0.008219608,-0.128715717,0.037538861,-0.014299366,0.046995823,-0.015722338,0.007554404,-0.047080855,-0.04797816,-0.090628079,-0.312913411,-0.162604657,-0.234594593,-0.103553511,-0.14541374,-0.122515857,-0.085984202,-0.133308635,-0.103642019,-0.159506447,-0.196285728,-0.161792064,-0.163789654,-0.17207292,0.044090012,-0.099383562,-0.015963295,-0.160262664,-0.129998368,-0.048770566,-0.115155411,-0.112369053,-0.137649554,-0.061430376,-0.105405245,-0.076066326
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT,-0.23463647,-0.225296268,0.507595793,0.245851811,0.5000426,0.32881429,0.215539044,0.273559041,0.311849316,0.128147336,0.374950156,0.353634958,0.198699265,0.20185775,0.127311466,0.197425832,0.212827274,-0.160272012,0.056644375,0.12017464,-0.13543664,-0.010319375,0.396499584,-0.056799949,0.155148927,-0.366720055,0.210620026,0.180851378,-0.227375882,-0.038941914,-0.094737331,-0.172466963,-0.114324404,0.268211968,-0.052161939,-0.227626559,0.180781539,-0.19581432,-0.155175894,-0.603813508,-0.153762022,0.05093823,-0.233931224,-0.153662617,-0.028062465,0.068864822,-0.104450814,-0.068583785,-0.341827768,-0.059018685,-0.508150681,-0.248736432,-0.193827958,-0.44270033,-0.486114138,0.282182512,0.027031127,-0.431859234,-0.382381156,-0.006833961,-0.428080343,-0.497951981,-0.475989009,-0.351445772,0.131907911,-0.391288762,-0.319350986,-0.489985633,-0.337435757,-0.346285077,-0.318006905,-0.364386828,-0.321949597,-0.380734982,-0.036732917
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,-0.034941537,0.114673351,0.065198328,0.03672166,0.012894884,-0.005322819,-0.021178132,-0.01567883,-0.011695911,0.030648434,-0.098041586,-0.091246888,-0.092656387,-0.064790679,0.04748974,0.036452114,-0.070244735,0.042139394,-0.071042607,-0.055148198,0.02921441,0.07380884,0.097221346,0.007582904,0.032461663,0.103749471,0.034104275,-0.072838539,-0.004414279,-0.184726976,0.054520778,0.049046905,0.159869667,-0.266656807,0.061447588,-0.003469143,0.144300284,0.1211688,-0.059613887,-0.021081314,-0.285287603,0.163981966,-0.004489306,0.045753184,-0.013433792,-0.075776386,-0.075276567,-0.26471786,-0.123629572,-0.398375696,-0.285762503,-0.278011463,-0.21137949,-0.215044712,-0.178975416,-0.185706509,-0.326894025,-0.108959516,-0.283948165,-0.31068913,-0.370326692,-0.227077151,-0.303628827,0.079444189,-0.115027565,0.115548543,-0.074191602,-0.147973457,0.132454173,-0.004944221,-0.009590737,-0.078415243,0.105306983,-0.08788837,-0.133143915
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.367509251,0.222875901,0.39234382,0.364625759,0.293135932,0.382003911,0.273126432,0.354140679,0.352095803,0.310754575,0.308535092,0.1414892,0.207047057,0.410047231,0.157513268,0.148516259,0.131956839,0.274131145,0.005173816,0.150762987,0.107926179,0.128153968,0.112378682,0.106860258,0.221205005,-0.074410248,0.224078892,0.322141635,-0.222046741,-0.319194126,-0.119344846,-0.374892651,-0.028476218,-0.516378755,-0.31865381,-0.208124805,-0.180010731,-0.280033864,-0.158577495,-0.183378307,-0.361120723,-0.221162799,-0.370308569,-0.144398998,-0.040442239,-0.206485047,-0.415252722,-0.44309347,-0.325720943,-0.478696423,-0.172287351,-0.455990702,-0.350992431,-0.24741974,-0.275045134,-0.371325461,-0.300869304,-0.320180527,-0.337468211,-0.416797896,-0.069274754,-0.235494423,-0.300388024,-0.057243179,-0.393870169,-0.110988146,-0.095067329,-0.064500472,0.094414706,-0.18654607,-0.276600172,-0.266809048,0.17649775,0.075722431,-0.020529686
GOBP_ACTIN_FILAMENT_ORGANIZATION,-0.001968081,-0.009480159,0.004115783,-0.015023796,0.026931163,0.009440555,0.006132321,-0.0162433,-0.006819177,6.36E-05,-0.069232158,0.009348777,-0.08409101,-0.05948312,-0.033386005,-0.003311098,-0.066212087,0.054926291,-0.06657686,-0.088271722,-0.044229007,-0.047238652,0.135653664,0.034831887,-0.04580041,-0.001422423,-0.021718518,-0.048568557,-0.029813772,-0.135524963,-0.006352093,0.001705486,0.082007547,-0.216955996,-0.010666319,-0.068605157,0.096456196,0.016730534,0.032948147,-0.001408911,-0.25675954,0.108508984,-0.026476797,0.067203563,0.014749333,-0.007543584,-0.065867008,-0.07972232,-0.056088772,-0.406316632,-0.212355896,-0.322290955,-0.190558265,-0.288192796,-0.228136128,-0.08904428,-0.314687137,-0.223316496,-0.246002885,-0.331809359,-0.262963874,-0.287974755,-0.269709989,0.056393225,-0.154761343,-0.001218719,-0.18593451,-0.105957611,-0.037266524,-0.186664667,-0.130159901,-0.163664076,-0.04934044,-0.037706885,-0.1197864
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,-0.070870151,-0.071630388,0.099965274,0.069039201,0.112377407,-0.031816259,0.091956168,-0.088857642,0.051330958,-0.049711011,0.178783936,0.279351806,0.017456064,0.173795133,0.130014551,-0.138139831,0.084327539,0.254549626,0.259146397,0.159210557,0.075932358,0.287332352,-0.013940373,0.145362645,0.239589481,-0.122981033,0.350670029,0.115748943,0.042729942,-0.303498207,0.015742115,0.051577276,0.171030259,-0.421731295,-0.114597697,-0.066654156,0.281460855,-0.007312882,-0.019528703,-0.201438325,-0.060249361,0.022385621,-0.149072603,-0.263321496,0.233542691,-0.252848936,-0.341539078,-0.281305869,-0.348985213,-0.356889131,-0.122431869,-0.323817319,0.302637078,0.275093366,0.124874164,-0.331075519,-0.136822195,0.226455981,-0.143976875,-0.179339893,-0.14100915,-0.136677896,0.109029744,0.065288328,-0.231589193,0.207538592,0.331020911,-0.299785566,0.378254947,0.191853027,0.033093712,0.020538965,0.113802208,0.070372834,0.140239885
GOBP_ACTIN_NUCLEATION,-0.135628325,0.213509737,0.470047408,0.314651289,0.45429178,0.463641155,0.465469223,0.406431226,0.464732423,0.452543855,0.488956393,0.540134656,0.579406792,0.478015394,0.209611074,0.046299513,0.403673105,0.06267791,0.184125952,0.461867128,0.144750602,0.018888136,0.349515392,0.128197377,0.402726166,0.041978238,0.429734554,0.458186621,0.231549792,-0.506472867,0.250634856,0.100454811,0.226472392,-0.331012735,0.182145625,-0.490690334,-0.01700066,-0.095180403,0.465693377,-0.261159573,-0.515073577,-0.087464899,-0.330171351,0.029184881,0.26206174,-0.321149966,-0.249290089,0.456390114,-0.429738404,-0.523114331,-0.480662896,-0.250166623,-0.39434616,-0.496300074,-0.546163767,-0.179949544,-0.403922264,-0.182044433,-0.309267035,-0.283575252,-0.426241388,-0.358527384,-0.514905418,-0.535390351,-0.317667654,-0.478458386,-0.403522593,0.072422513,-0.253524952,-0.423929646,-0.397226511,-0.236811541,-0.001621703,-0.492218598,-0.35885602
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,-0.004978888,-0.021873302,0.056242366,0.025336942,0.060315442,0.064743621,0.056967938,0.000987758,0.029287489,0.022773169,0.015970211,0.188265565,0.077787113,0.028893824,-0.074644048,0.150595009,-0.032918028,0.069407274,-0.082868337,-0.020726145,-0.010248186,0.004882866,0.12396426,0.191230467,-0.039875173,-0.037878319,-0.028220163,0.035600097,-0.124494479,-0.292079755,-0.097714422,-0.077473229,-0.062204912,-0.226943338,-0.14631083,-0.157148174,-0.017049539,-0.0319493,-0.042489344,0.0142665,-0.334888429,-0.052804553,-0.08429456,-0.003715567,-0.080640751,-0.031991922,-0.154521011,0.008050309,-0.123447916,-0.397405649,-0.150300746,-0.349394302,-0.141258431,-0.251511775,-0.334680031,-0.066179379,-0.262113538,-0.30109284,-0.17218035,-0.265076464,-0.117651015,-0.201996981,-0.282302942,0.017872758,-0.105065473,-0.062389398,-0.18802761,-0.059061839,-0.037873169,-0.265952478,-0.202073099,-0.221911459,-0.016587352,0.025245789,-0.074065938
GOBP_ACTION_POTENTIAL,-0.075806477,0.044577129,0.286479487,0.135970672,0.149356599,0.106275347,0.190181104,0.068095366,0.191643767,-0.003055401,0.184269777,0.302243353,0.139761418,0.128717072,0.048406681,-0.17751981,0.079640827,0.072847451,0.281643027,0.149865965,0.097127326,0.247649495,-0.053368419,0.07882392,0.166060433,-0.331370318,0.253952229,0.03201335,0.258270032,-0.301215093,0.171005166,0.155974396,0.245778749,-0.315108327,0.05979775,0.069961855,0.122156549,0.010419073,0.093873172,-0.317219213,-0.041062641,-0.102787515,-0.0081542,-0.316986833,0.321884671,-0.087213271,-0.260926614,-0.336537198,-0.322737461,-0.268774981,-0.14373206,-0.229222532,0.214331882,0.103676628,0.04614947,-0.349723824,-0.156856717,0.202444594,-0.309269413,-0.217670395,-0.085662744,-0.173758636,-0.144037227,-0.093578224,-0.315831253,0.216575084,0.29432993,-0.154551515,0.323228653,0.26042524,-0.014790518,0.02739796,0.217886848,-0.039949412,0.226416441
GOBP_ACTIVATED_T_CELL_PROLIFERATION,-0.243595276,-0.019329438,-0.370737514,-0.213470031,-0.199293516,-0.275943565,-0.260988649,-0.39669278,-0.371301074,-0.136355508,-0.248602279,-0.201461315,-0.037228056,-0.093619424,-0.307859258,-0.362388801,-0.228094489,0.016382956,-0.309385443,-0.230842223,-0.292261313,0.150923183,-0.182066529,0.05054098,0.014517514,-0.491358413,-0.264777835,-0.253881003,0.048657636,-0.012551319,0.388334375,0.150817901,0.301167159,-0.307316631,0.155631212,0.042899519,0.217941554,0.632593964,0.156628748,-0.34117005,0.14797548,0.225801814,0.465495202,0.307877344,0.134301151,0.314607549,0.412497737,0.186673321,-0.355953371,0.072913944,-0.152285557,-0.098529925,-0.399831161,-0.10719531,0.263490609,0.048008889,-0.281591833,0.166745522,-0.392030415,0.102110852,-0.002723902,-0.458799732,-0.347223874,0.130691107,-0.441503545,0.088704558,-0.509995657,-0.001413344,-0.183089488,-0.239933977,-0.218118591,-0.431278337,-0.216807182,-0.234020363,-0.15785168
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,-0.126588728,0.006712768,-0.177703072,-0.270688351,-0.205459879,-0.306542148,-0.216890355,-0.185766521,-0.257110141,-0.223141338,-0.357667396,-0.104776413,-0.347604541,-0.275883005,-0.214628987,-0.036741476,-0.355983542,-0.039974224,-0.066286126,-0.216554747,-0.059597443,-0.129688398,0.04545023,-0.098560144,-0.240557192,0.163990142,-0.233957799,-0.284987625,-0.212515553,0.142572774,-0.082800305,-0.225296236,-0.158933948,0.033880865,0.07709805,0.016677219,0.283153736,0.060827963,-0.207991274,0.030355192,-0.124481991,0.167186736,0.270043687,-0.231484236,-0.201545175,0.153003191,0.341080404,-0.050418892,-0.048620732,0.294655783,0.346779438,0.121926823,0.447768376,0.174931281,0.334333276,0.039217279,0.140778858,0.349268973,0.066859776,0.181550907,0.178418105,0.264796918,0.139859997,0.044463769,0.133371009,0.318348132,-0.155601863,-0.061344042,-0.102549133,-0.218141444,0.094123607,0.181288686,0.026034166,0.151297799,-0.099875491
