,DCIS_Pro mean value,DCIS_Pure mean value,FC(DCIS_Pro vs DCIS_Pure),ranksums p value,adjusted ranksums p value
A1BG,3.4579931393255814,67.423427892,0.051287708848987236,4.770305427572316e-13,1.3025822461481415e-11
A2M,3.842409412651163,66.43931240926666,0.057833371136984266,0.18583327965243668,0.2173229624629469
NAT1,9.42045225060465,48.005812631733335,0.19623565843727514,0.8664426436038775,0.8828157250768941
NAT2,10.875604243348837,3.2578308343,3.3382961843338452,1.9930054290638748e-09,7.942353053561155e-09
SERPINA3,10.628939371395349,45.144419878,0.23544303814556483,1.7535239087728887e-05,3.565226025844838e-05
AADAC,3.4394580753488375,8.103560114733334,0.4244379046556898,0.19726929272492788,0.22990392864047007
AAMP,100.43259651488371,2.3769401221,42.25289294462859,4.770305427572316e-13,1.3025822461481415e-11
AARS1,3.905564297,5.237761959966666,0.7456551723524404,0.0159279488670562,0.022585686438287383
ABAT,20.53133551432558,25.163582696,0.8159146399129104,0.035044783083593385,0.0473899632286912
ABCA1,6.2098841993023255,1.8393703909666668,3.376092292123268,6.295488858473388e-11,3.792454184423428e-10
ABCA2,1.0747597596046512,1.6599680671,0.6474580932645768,0.014517452788766315,0.02088252376543978
ABCA3,4.101646770906976,2.2744318605999996,1.803372016528538,3.1877536837479296e-05,6.283675682768331e-05
ABCB7,4.176305748069768,2.6573857993999996,1.571584279938848,5.4302986427542015e-05,0.0001042144723805639
ABCF1,18.330230358627908,8.057770658166667,2.2748513374539834,1.5969810969816895e-06,3.731179690528801e-06
ABL1,7.826903462279069,2.0304329944,3.8547952500111666,8.834322846001701e-09,3.072781680126281e-08
AOC1,9.708099686,2.127448449,4.563259659975902,3.6912002983962775e-09,1.3866082066279863e-08
ABL2,4.237861909162791,3.1938107161333336,1.326898268502732,5.973211336357972e-05,0.00011403131712934605
ACAA1,9.597173268302326,6.2301216987000005,1.5404471585691346,0.13591291040339593,0.1667386316003713
ACACB,4.403763677581396,2.204846615566667,1.9973106729919108,5.394361708043177e-07,1.3531574108668557e-06
ACADL,3.130313888906977,4.1429208669,0.7555813855670576,0.6619193221216304,0.6948900540938396
ACADS,3.5803429280465116,14.035878355966668,0.25508506395144864,2.7490128187064886e-10,1.3739661513476027e-09
ACADSB,18.885306286674417,10.787104376533334,1.7507299111481867,0.00016508582945343376,0.00029814707913716954
ACADVL,8.29482930216279,22.5780571961,0.36738454642570356,4.06368651191286e-06,8.98924216950976e-06
ACAT1,1.948138989372093,9.941220952033332,0.1959657670593902,1.7301749684630328e-11,1.296696455981209e-10
ACAT2,11.976436833372093,4.8669359558666665,2.460775515021015,1.8190706358066436e-08,5.937368734069214e-08
ACLY,3.261761939860465,10.880611676533334,0.2997774423744248,0.00018878570404463215,0.00033862478641319405
ACO1,4.4427141460697674,15.7731135399,0.28166373968153996,2.7490128187064886e-10,1.3739661513476027e-09
ACO2,56.95693702162791,31.434741128733332,1.811910484275173,3.272260934747328e-06,7.33638401459146e-06
ACOX1,16.862756950093022,4.2378336335333335,3.9790983809889537,2.055213287651853e-10,1.059118526047944e-09
ACP1,6.151025909069767,25.497359029,0.24124168711252636,4.770305427572316e-13,1.3025822461481415e-11
ACP2,4.009980841348837,9.233575163700001,0.4342825796353827,7.216914973364804e-05,0.00013667978848029482
ACP3,8.955001255372093,2.7975426726,3.201024006918697,1.2096919351496285e-07,3.389403091892799e-07
ACTA2,37.87042522827907,3.4202592293,11.072384485906273,5.81468355311036e-12,5.93486664460943e-11
ACTG2,6.473872782976744,2.4921881119,2.5976661842115836,9.257805305261876e-10,3.959216680296832e-09
ACTN4,40.8510015795814,31.140623689599998,1.3118234877622046,0.038060293992373644,0.05121809912952019
ACTL6A,10.290145979186047,2.6451179239,3.8902409175066595,1.0060508054174005e-11,8.347650483884782e-11
ACTN1,7.373898637837209,53.742612312,0.13720767042413973,7.197631430636773e-13,1.3361150608283031e-11
ACTN2,4.8851993509302325,2.3596322822666664,2.070322307269632,3.462827592950641e-08,1.0698377453094519e-07
ACVR1B,2.6688373038139535,3.5538724663,0.7509659756002802,0.7366012670131777,0.7657060244808284
ACVRL1,2.0707857211860463,3.0774259101333334,0.6728953942863004,0.014974872482700024,0.021367269423370083
ACY1,9.703135315418605,31.022420595000003,0.3127781497805653,0.1544714930463237,0.18747160680775102
ACYP1,2.8778421034418606,3.3689167336666666,0.854233669441177,0.3462944811041896,0.3870006948270711
ACYP2,3.2597379599302325,2.8979074944,1.1248592186705215,0.14808258894287288,0.18043537688088293
ADAM8,4.043271431651163,1.4107966939666667,2.865949040667864,7.92704468305404e-05,0.00014940560130770949
ADAM10,0.11623079869767443,2.4312405268333332,0.04780719859464662,7.236166808340818e-09,2.54768503295968e-08
ADAR,16.165040901441863,20.238053302966666,0.7987448525531976,0.01024261643287065,0.014977679362642382
ADARB1,8.498310286209302,1.7797872643333332,4.774902291141279,9.980189655184586e-13,1.611510200512821e-11
ADARB2,1.1673586699767442,2.6798602975,0.43560430036810316,0.0008343167586399073,0.001385745011438592
ADCY3,4.120629099697674,2.8834162687333333,1.429078813343812,1.939530168449768e-05,3.921983943860987e-05
ADCY9,3.556257602372093,2.2300545887,1.5946953139139062,5.4302986427542015e-05,0.0001042144723805639
ADD1,114.92549200325581,4.8814634384,23.543245474132856,9.198816338708176e-13,1.520744729277877e-11
ADD2,6.467979191604651,2.1184895973,3.0531087808257564,1.1507517075978885e-08,3.898605751828636e-08
PLIN2,3.8762493562790694,2.1576657841999998,1.796501286095275,1.137669676686123e-07,3.2040792906152736e-07
ADH1A,22.215172660372094,2.5392837614333335,8.748597930556778,5.625543614991973e-13,1.3025822461481415e-11
ADH4,14.151536418697674,2.9452986302333333,4.804788306840233,1.8599540589164063e-09,7.47262743154435e-09
ADH7,0.7232696464418604,1.2399381609666666,0.5833110627694473,0.004890010552278541,0.007453468286606558
ADK,9.273265717255814,26.771604456066665,0.3463843839644962,0.09932149868096558,0.12429646095077945
ADM,31.042721780558143,0.0124433723,2494.7193600048554,5.717726876785953e-07,1.4298065292179097e-06
ADORA1,3.994675489232558,2.6671801385333334,1.4977149205337164,0.000395653636153325,0.0006827956157049972
ADPRH,7.532557385093023,2.700171440866667,2.789658934647245,1.0515920282784923e-05,2.199320553659747e-05
PARP1,6.3532575370930235,45.00826938633334,0.14115756112635994,1.4975062289414892e-12,2.149618772099547e-11
PARP4,4.048114161767442,1.7009470180333333,2.379917845088407,6.931699776575513e-08,2.0227731285287006e-07
ADRA2A,5.782642016325581,3.093930583366667,1.869027717497523,0.035044783083593385,0.0473899632286912
ADRA2C,5.626239230255814,2.906044785366667,1.9360469799318423,1.785703609800624e-06,4.154933117100903e-06
ADRB1,2.182266799651163,0.0124433723,175.37583438302838,8.565022742597852e-07,2.085426552246699e-06
ADRB2,3.6218578382093027,2.2727452018,1.593604877194687,9.117189112490504e-05,0.0001704265449803903
ADSL,3.647038323906977,6.357403397666667,0.5736679105883914,0.17135778689896575,0.20144441219501683
AP2A1,3.2083631239069765,10.440777497,0.3072915905763581,1.1753433855423825e-11,9.474149350233076e-11
AP2A2,6.661758138651163,6.2141051052666665,1.072038213998842,0.8051696679895162,0.8280706317889079
AP1B1,4.061170271837209,8.4821974869,0.4787875168090964,1.9680547146726295e-07,5.299196557471264e-07
AP1G1,12.161374985860464,8.519053402666666,1.4275500353189081,0.14808258894287288,0.18043537688088293
AEBP1,4.110997882325582,21.666310303133333,0.1897414845817591,1.623505438336205e-12,2.260316558720087e-11
TLE5,0.8624971480232558,0.5120976066333334,1.6842436614643501,0.7450708645244708,0.7731408583324652
AFM,58.55649642802326,4.016299043333333,14.579715254326333,1.0654507561435733e-09,4.497292693774491e-09
AGA,29.140108709790695,15.361976305466667,1.896898428324029,3.272260934747328e-06,7.33638401459146e-06
ACAN,13.342127779465116,3.0508158571,4.373298292787714,2.957586764619259e-11,2.0283063569134954e-10
AGL,15.383168701511629,15.9594143848,0.9638930558857349,0.6297260528017277,0.6647519778416854
AGT,38.68578365744186,65.72344502796666,0.5886146662120385,0.5982212688600543,0.6357168564339835
AGXT,8.945430232093024,2.5825169697666666,3.463841801163945,1.3142303461960433e-09,5.452376523274993e-09
AHCY,3.0854429634651166,35.78126533696666,0.0862306834151406,5.18062511755818e-13,1.3025822461481415e-11
AHSG,27.499957912674418,15.7907109062,1.741527539578788,0.0017592529258437686,0.0028212759217498755
AIF1,4.240432991581396,9.9778796741,0.4249833762365831,0.11649225257988607,0.14421185154279423
AK1,3.305589959348837,25.341675168566667,0.13044086223033227,1.3811152209378262e-12,2.0283385135986805e-11
AK2,34.980527633232555,16.872667546533332,2.0732067135655545,6.511846473598509e-08,1.9071835957896285e-07
AK4,3.713922856418605,10.375896498933335,0.3579375388719813,4.236963987803747e-10,2.0197386282379686e-09
AKT1,55.8316782627907,4.9693972537999995,11.235100639236947,4.770305427572316e-13,1.3025822461481415e-11
AKT2,4.626408147651163,4.0613594623000004,1.1391279670258905,0.038060293992373644,0.05121809912952019
ALAD,10.735657095255814,7.245827818433333,1.481632929220921,0.0036856147454349276,0.005699685355284439
ALCAM,4.861375975744186,30.9736359986,0.15695206000238135,9.439633270366919e-09,3.258809141912417e-08
ABCD1,4.115232056976744,2.139553134966667,1.923407271229493,5.536188040215819e-09,1.997084948124189e-08
ALDH1A1,133.12000195209302,30.397412707966666,4.379320149086388,2.427030088925922e-12,3.060665465034764e-11
ALDH2,35.41767799116279,12.155804948133333,2.913643164091868,5.025316622889185e-11,3.13881728811568e-10
ALDH1B1,3.762039413162791,19.727077758233335,0.19070434350534549,8.834322846001701e-09,3.072781680126281e-08
ALDH1A3,2.4478582712325583,1.7953622418,1.3634341940812884,0.8929731996103301,0.9057952571198581
ALDH3B1,21.532782902534883,2.1878923975,9.841792460698416,4.770305427572316e-13,1.3025822461481415e-11
ALDH3B2,3.2413483135581393,2.9988539583000002,1.080862342291455,0.6138845570752118,0.6495121658861918
ALDH3A2,11.986872156186045,12.666753000566667,0.9463255623323352,0.5082896921889968,0.54816541190981
ABCD2,6.314085549418605,1.7549770722,3.5978165466876493,9.142610350319892e-11,5.230862067324005e-10
ALDOA,355.7205410332558,174.11953060356666,2.0429674936532893,0.00017265587185903545,0.0003109354359373329
ALDOB,2.0377277181395352,6.529637937166667,0.3120736153747207,5.695630836691434e-05,0.00010904596102518769
ALDOC,10.835746667069769,2.5994796113666667,4.168429180859363,3.916085159035203e-12,4.371290668743099e-11
ALOX5,8.143093872813953,2.2768813292333334,3.576424369712706,5.3740096037222564e-12,5.605058957156385e-11
ALOX5AP,6.996877433395349,5.7401007148,1.2189468061692605,0.1544714930463237,0.18747160680775102
ALOX15B,16.51839282253488,26.672468535500002,0.6193049886083679,0.0036856147454349276,0.005699685355284439
ALPI,0.793123309255814,0.8081084326,0.981456543775972,0.15774346554721286,0.19012390002843216
ALPL,7.0976048465348835,3.389513518766667,2.093989242774128,1.584592507819092e-05,3.240758219650385e-05
AMBN,2.353716147232558,0.0124433723,189.15420116719952,1.939530168449768e-05,3.921983943860987e-05
AMBP,19.48856020072093,15.004094872133333,1.2988827627927402,0.8752709738572431,0.8902059448168814
AMPD1,3.7100794487906974,2.0448318126,1.8143689989218907,1.227485655789441e-05,2.544518899835767e-05
AMPD2,10.666332600069767,33.908875752966665,0.31455872137360896,0.28177338541436114,0.3203621256268338
AMPD3,5.482654428930233,2.6934461991000003,2.035553719529364,9.117189112490504e-05,0.0001704265449803903
BIN1,10.805105191046511,9.875822824633333,1.0940967029193014,0.26220623468425097,0.29961097312018764
AMY2A,2.025893029651163,2.934481308,0.6903751692430827,0.05107207069165786,0.06732688783447148
ANG,2.9385208619767442,2.3216389990666664,1.2657096401111774,0.18958951781134714,0.22144415586982136
ANGPT1,2.2986667022093026,0.0124433723,184.73020390214498,0.0002805130166423431,0.000493014065992342
ANK2,4.401963144744186,3.2969625075,1.3351571741354373,0.0002685656526085729,0.0004728329633268967
ANK3,9.917299074999999,2.6442505754,3.750514103036469,1.4012952215639882e-08,4.683978923514763e-08
ANPEP,4.99268668927907,25.875272358366665,0.19295204394881296,6.3309096823841225e-09,2.2555066739084597e-08
SLC25A5,5.7151685047906975,8.313111465133334,0.6874884967874098,0.4940212696390196,0.5341366508482817
SLC25A6,5.7482359587441865,84.90756498900001,0.06769992708528251,6.107917705201362e-13,1.3106205846257285e-11
ANXA1,30.975395049162792,227.63240709966666,0.1360763849217678,1.623505438336205e-12,2.260316558720087e-11
ANXA2P2,12.34924541944186,2.719505262033333,4.54098971303645,4.5266103874975776e-07,1.1479399684697613e-06
ANXA3,14.973721785348836,44.106167959833336,0.33949269406004906,1.005865802855261e-07,2.8571307307834e-07
ANXA4,1.7033259685581394,15.356095747866668,0.11092181219271002,1.2295344260055035e-10,6.748728707344597e-10
ANXA5,34.16069475195349,245.44396242633331,0.13917920169743986,1.1743339083830388e-12,1.822905504376072e-11
ANXA6,7.906715357813954,192.685748926,0.04103425085604275,1.2701554752065182e-11,1.0078680393227386e-10
ANXA11,3.1908276510465114,28.286682961833332,0.11280317509662878,3.669799203305305e-10,1.7793919937475579e-09
ANXA13,6.5573911269302325,2.7566751998,2.378731860541996,7.92704468305404e-05,0.00014940560130770949
AOX1,6.026974251302326,1.7339648522333335,3.475834151735907,0.001898283955577361,0.0030321275911394277
APBA1,7.170229494860465,1.9127569818666668,3.748635902435975,1.907493786898598e-12,2.5599338341500178e-11
APBA2,3.8047177556279066,1.3155887739333332,2.892026620334105,1.205323643559663e-06,2.867035616068106e-06
APBB1,9.338282600465115,5.071511315233334,1.8413214562719502,0.23909518778520134,0.27530587612544427
APBB2,1.3310016439534884,1.0287502529666666,1.293804439041645,0.6297260528017277,0.6647519778416854
APC,19.18717709955814,7.250341136866667,2.6463826649472852,1.8599540589164063e-09,7.47262743154435e-09
APCS,119.09785420348838,87.60159794159999,1.3595397458718221,0.07282803631930694,0.09385043545277465
APEH,8.36366525972093,9.7035893116,0.8619145958416358,0.9107289108558526,0.9217837921696375
APEX1,16.852403443883723,19.824463270000003,0.8500811958619913,0.5300908077965105,0.5698242787014409
BIRC3,4.35161754155814,1.2182091851,3.5721431054560018,8.354652948249478e-08,2.4071686053122883e-07
BIRC5,3.3345524770465116,0.3681277728666667,9.058138838805469,4.5266103874975776e-07,1.1479399684697613e-06
APLP2,3.349722379,2.4610702896000003,1.361083587557523,0.0009042856592892043,0.0014962583902726053
APOA1,101.8852027044186,183.54898151966665,0.5550845439777172,0.28177338541436114,0.3203621256268338
APOA2,2.5070176269534885,14.667463110866667,0.17092373834546187,1.205323643559663e-06,2.867035616068106e-06
APOA4,10.634125979953488,9.797076222366666,1.0854387307588607,0.9463655594082292,0.9534261237957329
APOB,4.175351419302325,22.2115989069,0.1879806778793065,7.692967497020275e-06,1.639254168929373e-05
APOC1,13.073184005348837,4.5866135645,2.8502911399674415,6.931699776575513e-08,2.0227731285287006e-07
APOC3,6.807552606767442,5.0866838799666665,1.3383085655427152,0.027192186164360848,0.037320162680516474
APOE,2.031308577372093,11.664293751733334,0.17414758412357687,6.230783464057316e-06,1.3442036600883726e-05
APP,3.841316306511628,2.6726560174666667,1.4372655071986034,0.003819765510624435,0.005894599709407185
APRT,14.409277716325581,24.58912159176667,0.5860021336081533,0.0002929570261820224,0.0005134655711591409
AQP1,37.55932273902326,10.581213373333332,3.549623414048136,1.2861168189554342e-07,3.589693898013713e-07
AQP3,1.8241291261627908,1.8093957896333335,1.0081426831066314,0.3238148512439789,0.36425291670710463
AQP5,3.8501153942325583,2.900139980866667,1.327561917574063,0.04242192770198823,0.056553922313877195
AR,5.814500675418604,1.8699956288000001,3.1093659182240136,4.551776684865965e-10,2.147003413736314e-09
ABCC6,5.423623882046512,3.2015480379666665,1.6940629400929144,0.024221627133732937,0.03350841418255946
ARAF,11.089249899651163,4.8104331983,2.3052497441540374,6.059739285235359e-07,1.5096418245454096e-06
AREG,5.325288049232558,2.1864312014,2.435607416241914,2.820564442145821e-07,7.397558065091626e-07
ARF1,4.182035082255814,2.1960931563,1.9043067778152676,5.695630836691434e-05,0.00010904596102518769
ARF4,9.494263486767442,30.36753539913333,0.31264517722562374,2.6571646644694473e-07,6.993045121617678e-07
ARL4D,2.2349515565348836,0.0124433723,179.60979569299585,0.0009042856592892043,0.0014962583902726053
ARF5,6.107877023813955,9.030583639233333,0.6763546264361373,0.8138592685123792,0.8356556475493166
ARG2,4.263234688418605,1.9554332619666668,2.180199534977164,0.00043066543645758573,0.0007391208969639299
RHOC,34.118037758511626,27.179876752333332,1.2552683027005511,0.03703148999127752,0.049921680870828135
RND3,25.4852674642093,2.4622617401999998,10.35034864414505,8.477571654052356e-13,1.4518436124487644e-11
ARHGAP1,12.703226906209302,22.3932058246,0.5672804066425453,2.934244569178592e-06,6.604755551127914e-06
