Gene Symbol,DCIS TNBC mean,IDC TNBC mean,FC(IDC TNBC vs. DCIS TNBC)
CISH,2.0412631539999997,9.735877848,4.76953587729336
BHLHE40,0.010147019,3.5806300015,352.875066214028
BCL2L1,0.8187609885,4.44825682,5.432912513515536
MAP3K8,5.687198545,9.401654643,1.6531257997429383
S100A1,57.10240246,398.128843776,6.9721907769973015
TLR7,1.6353630190000001,5.364688921000001,3.280426950268465
MUC1,2.997952751,6.6433477075,2.215961444116836
PTH1R,0.909151649,3.383070472,3.721128896066051
HOPX,1.4026759655,3.0521130955,2.1759217171815153
CD48,1.1678188675,1.9365610789999999,1.6582717858854936
FURIN,0.010147019,2.6279050045,258.982958886743
IL18R1,0.010147019,7.3366547749999995,723.0354821450517
AHNAK,21.998239275,35.642432955,1.620240261478836
POU2F1,3.2654974455,7.4761248955,2.2894291054499005
SELL,1.1443621385,2.921053543,2.5525604568050815
COCH,1.207124243,9.4531813505,7.831158561612949
RNH1,132.782149366,239.1512238,1.801079625099341
TGM2,5.5258825730000005,10.4297923795,1.8874437235530446
