Term,M-Distant mean,IDC mean,Adjusted ranksums p-value
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.06505249657894738,0.056755612115384615,2.760903914967143e-12
HALLMARK_HYPOXIA,0.05479281945864661,-0.10437900026923078,1.0073754516114255e-16
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.001447803255639097,-0.036340894230769236,0.03497871628714777
HALLMARK_MITOTIC_SPINDLE,0.0613637427443609,-0.12099971533333334,2.161928968437683e-15
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.10750206455639097,0.034243268012820516,1.8164424313307726e-07
HALLMARK_TGF_BETA_SIGNALING,0.090893558518797,-0.020077080769230767,1.5073973603104377e-10
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.0963398774661654,0.031562239205128205,1.0464718025879438e-11
HALLMARK_DNA_REPAIR,0.09495324087218045,-0.07271746875641026,5.589226033342611e-22
HALLMARK_G2M_CHECKPOINT,0.004422552428571429,-0.06944637361538462,8.245482816304746e-09
HALLMARK_APOPTOSIS,0.05091211778947368,-0.06678908096153846,8.28925939750171e-15
HALLMARK_NOTCH_SIGNALING,-0.04150810530075188,0.08206004737179487,2.7030797995682205e-05
HALLMARK_ADIPOGENESIS,0.06970825,-0.13775067455128204,7.358893240662875e-17
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.011287145045112782,-0.064966736,1.5816995331760364e-07
HALLMARK_ESTROGEN_RESPONSE_LATE,0.004657302240601504,-0.08934567921794871,6.327452107416448e-15
HALLMARK_ANDROGEN_RESPONSE,-0.013852073819548871,-0.0007107474358974352,0.4791145578600086
HALLMARK_MYOGENESIS,0.08979784835338346,-0.10050071205128205,1.8242575535404237e-20
HALLMARK_PROTEIN_SECRETION,0.1277070692481203,-0.19594371752564102,2.8013615809725944e-22
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.16190394788721804,-0.11935517926923077,1.34860396972282e-25
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.09797821401503759,-0.09161352255128205,7.351171890599569e-24
HALLMARK_APICAL_JUNCTION,0.07636685690225564,-0.12692252515384614,1.576031303765167e-22
HALLMARK_APICAL_SURFACE,-0.08259045771428572,0.06290108411538461,6.702501524034186e-13
HALLMARK_HEDGEHOG_SIGNALING,-0.014393963894736843,-0.1825646778974359,6.088347210687786e-12
HALLMARK_COMPLEMENT,0.07115987892481203,-0.1421692337820513,2.289851683066095e-23
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.13151970756390977,-0.1238322741923077,5.5006164709664626e-21
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.02878248610526316,-0.06693188221794873,8.551059257169141e-10
HALLMARK_MTORC1_SIGNALING,0.07553519097744361,-0.15900180993589744,1.1956623582333398e-16
HALLMARK_E2F_TARGETS,0.06718140408270676,-0.12803238133333333,2.5889531421840414e-16
HALLMARK_MYC_TARGETS_V1,0.16091048142857142,-0.21600070508974356,4.621323384206964e-18
HALLMARK_MYC_TARGETS_V2,0.15651338418796992,-0.24645684950000002,6.154990116130727e-26
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.1009599277443609,-0.1356671479871795,1.1209979964535957e-17
HALLMARK_INFLAMMATORY_RESPONSE,-0.04181464942857143,0.007247237448717949,2.7030797995682205e-05
HALLMARK_XENOBIOTIC_METABOLISM,0.07602093590977443,-0.13968394173076923,1.444246847169951e-17
HALLMARK_FATTY_ACID_METABOLISM,0.0896365139849624,-0.1605369041153846,4.414569612174096e-19
