peak,symbol
1p36.33,DDX11L1
1p36.33,FAM138A|chr1
1p36.33,FAM138C|chr1
1p36.33,FAM138D|chr1
1p36.33,LOC100132062|chr1
1p36.33,LOC100133331
1p36.33,LOC100288069
1p36.33,LOC101928626
1p36.33,LOC729737
1p36.33,MIR1302-10|chr1
1p36.33,MIR1302-11|chr1
1p36.33,MIR1302-2|chr1
1p36.33,MIR1302-9|chr1
1p36.33,MIR6723
1p36.33,MIR6859-1|chr1
1p36.33,MIR6859-2|chr1
1p36.33,MIR6859-3|chr1
1p36.33,OR4F16|chr1
1p36.33,OR4F29|chr1
1p36.33,OR4F5
1p36.33,WASH7P
1p36.33,FAM87B
1p36.33,LINC00115
1p36.33,LINC01128
1p36.33,FAM41C
1p36.33,LOC100130417
1p36.33,SAMD11
1p36.33,NOC2L
1p36.33,KLHL17
1p36.33,PLEKHN1
1p36.33,PERM1
1p36.33,HES4
1p36.33,ISG15
1p36.33,AGRN
1p36.33,RNF223
1p36.33,C1orf159
1p36.33,LINC01342
1p36.33,MIR200A
1p36.33,MIR200B
1p36.33,MIR429
1p36.33,TTLL10
1p36.33,TNFRSF18
1p36.33,TNFRSF4
1p36.33,SDF4
1p36.33,B3GALT6
1p36.33,FAM132A
1p36.33,UBE2J2
1p36.33,SCNN1D
1p36.33,ACAP3
1p36.33,MIR6726
1p36.33,CPSF3L
1p36.33,MIR6727
1p36.33,PUSL1
1p36.33,CPTP
1p36.33,DVL1
1p36.33,TAS1R3
1p36.33,MIR6808
1p36.33,MXRA8
1p36.33,AURKAIP1
1p36.33,CCNL2
1p36.33,LOC148413
1p36.33,MRPL20
1p36.33,ANKRD65
1p36.33,TMEM88B
1p36.33,LOC102724312
1p36.33,VWA1
1p36.33,ATAD3C
1p36.33,ATAD3B
1p36.33,ATAD3A
1p36.33,TMEM240
1p36.33,SSU72
1p36.33,FNDC10
1p36.33,MIB2
1p36.33,MMP23B
1p36.33,CDK11B
1p36.33,MMP23A
1p36.33,SLC35E2B
1p36.33,CDK11A
1p36.33,SLC35E2
1p36.33,NADK
1p36.33,GNB1
1p36.33,CALML6
1p36.33,CFAP74
1p36.33,TMEM52
1p36.33,GABRD
1p36.33,LOC105378591
1p36.33,PRKCZ
1p36.33,FAAP20
1p36.33,SKI
1p36.32,MORN1
1p36.32,LOC100129534
1p36.32,RER1
1p36.32,PEX10
1p36.32,PLCH2
1p36.32,PANK4
1p36.32,HES5
1p36.32,LOC115110
1p36.32,TNFRSF14
1p36.32,LOC100996583
1p36.32,FAM213B
1p36.32,MMEL1
1p36.32,TTC34
1p36.32,ACTRT2
1p36.32,LINC00982
1p36.32,PRDM16
1p36.32,MIR4251
1p36.32,ARHGEF16
1p36.32,MEGF6
1p36.32,MIR551A
1p36.32,hsa-mir-551a
1p36.32,TPRG1L
1p36.32,WRAP73
1p36.32,TP73
1p36.32,TP73-AS1
1p36.32,CCDC27
1p36.32,SMIM1
1p36.32,LRRC47
1p36.32,CEP104
1p36.32,DFFB
1p36.32,C1orf174
1p36.32,LINC01134
1p36.32,AJAP1
